count,x,y,z
20,5272,2779,1351
21,5285,2805,1402
22,5239,2809,1388
23,5254,2763,1386
24,5225,2787,1404
25,5276,2794,1425
26,5252,2802,1438
27,5238,2781,1449
28,5258,2777,1461
29,5276,2821,1366
30,5263,2785,1550
31,5292,2776,1364
32,5239,2809,1388
33,5229,2797,1412
34,5243,2814,1558
35,5242,2816,1476
36,5272,2779,1351
37,5280,2808,1501
38,5235,2800,1426
39,5256,2799,1447
40,5272,2816,1413
41,5259,2822,1359
42,5272,2816,1413
43,5269,2805,1397
44,5259,2802,1385
45,5260,2833,1553
46,5274,2775,1360
47,5274,2775,1360
48,5235,2826,1530
49,5264,2809,1496
50,5253,2852,1398
51,5245,2812,1485
52,5269,2805,1397
53,5247,2774,1359
54,5244,2837,1504
55,5282,2825,1463
56,5303,2773,1424
57,5251,2828,1451
58,5294,2790,1398
59,5254,2763,1386
60,5267,2782,1450
61,5267,2782,1450
62,5282,2763,1388
63,5249,2809,1384
64,5282,2763,1388
65,5252,2800,1513
66,5292,2776,1364
67,5252,2802,1438
68,5267,2809,1388
69,5257,2774,1412
70,5251,2748,1313
71,5294,2790,1398
72,5254,2763,1386
73,5246,2797,1415
74,5264,2785,1441
75,5416,2914,1770
76,5305,2733,1353
77,5274,2797,1416
78,5283,2775,1470
79,5269,2801,1515
80,5270,2783,1341
81,5261,2790,1459
82,5283,2782,1452
83,5240,2818,1549
84,5246,2797,1415
85,5311,2783,1457
86,5279,2767,1379
87,5252,2766,1378
88,5236,2810,1459
89,5259,2810,1495
90,5280,2829,1454
91,5282,2763,1388
92,5267,2809,1388
93,5225,2841,1493
94,5284,2774,1402
95,5252,2802,1438
96,5232,2830,1521
97,5272,2841,1426
98,5396,2967,1829
99,5257,2797,1413
100,5280,2776,1371
101,5265,2791,1323
102,5250,2787,1391
103,5222,2809,1384
104,5255,2778,1347
105,5285,2798,1417
106,5257,2797,1413
107,5284,2797,1420
108,5303,2793,1432
109,5266,2788,1409
110,5265,2808,1392
111,5258,2819,1363
112,5295,2815,1373
113,5258,2819,1363
114,5256,2796,1415
115,5284,2797,1420
116,5275,2784,1378
117,5252,2850,1402
118,5293,2809,1396
119,5281,2790,1331
120,5248,2808,1387
121,5275,2820,1368
122,5268,2832,1340
123,5271,2839,1429
124,5289,2816,1428
125,5264,2785,1441
126,5264,2785,1441
127,5293,2787,1445
128,5394,2974,1831
129,5266,2825,1571
130,5270,2783,1341
131,5313,2822,1585
132,5299,2716,1451
133,5282,2778,1394
134,5264,2813,1378
135,5279,2767,1379
136,5291,2734,1357
