count,data
1, 3531221  ms,  3249  mm,  -81  dBm 
2, 3531391  ms,  3292  mm,  -81  dBm 
3, 3531558  ms,  3314  mm,  -81  dBm 
4, 3531728  ms,  3338  mm,  -81  dBm 
5, 3531897  ms,  3282  mm,  -81  dBm 
6, 3532066  ms,  3226  mm,  -82  dBm 
7, 3532236  ms,  3216  mm,  -81  dBm 
8, 3532405  ms,  3226  mm,  -81  dBm 
9, 3532576  ms,  3212  mm,  -81  dBm 
10, 3532746  ms,  3193  mm,  -81  dBm 
11, 3532916  ms,  3212  mm,  -81  dBm 
12, 3533086  ms,  3314  mm,  -81  dBm 
13, 3533256  ms,  3292  mm,  -82  dBm 
