count,data
1, 3956120  ms,  4883  mm,  -83  dBm 
2, 3956306  ms,  4832  mm,  -84  dBm 
3, 3956476  ms,  4916  mm,  -84  dBm 
4, 3956644  ms,  4864  mm,  -83  dBm 
5, 3956813  ms,  4878  mm,  -84  dBm 
6, 3956813  ms,  4878  mm,  -84  dBm 
7, 3957154  ms,  4850  mm,  -84  dBm 
8, 3957323  ms,  4846  mm,  -84  dBm 
9, 3957493  ms,  4878  mm,  -84  dBm 
10, 3957663  ms,  4855  mm,  -84  dBm 
11, 3957832  ms,  4846  mm,  -84  dBm 
12, 3958002  ms,  4832  mm,  -84  dBm 
13, 3958172  ms,  4855  mm,  -84  dBm 
