count,data
1,"1266574 ms, 1905 mm, -80 dBm"
2,"1266652 ms, 1928 mm, -80 dBm"
3,"1266730 ms, 1947 mm, -80 dBm"
4,"1266808 ms, 1891 mm, -80 dBm"
5,"1266899 ms, 1933 mm, -80 dBm"
6,"1266976 ms, 1919 mm, -80 dBm"
7,"1267053 ms, 1919 mm, -80 dBm"
8,"1267130 ms, 1905 mm, -80 dBm"
9,"1267207 ms, 1961 mm, -80 dBm"
10,"1267284 ms, 1924 mm, -80 dBm"
11,"1267361 ms, 1914 mm, -80 dBm"
12,"1267438 ms, 1882 mm, -80 dBm"
13,"1267515 ms, 1938 mm, -80 dBm"
14,"1267592 ms, 1900 mm, -80 dBm"
15,"1267669 ms, 1928 mm, -80 dBm"
16,"1267746 ms, 1886 mm, -80 dBm"
17,"1267822 ms, 1910 mm, -80 dBm"
18,"1267900 ms, 1928 mm, -80 dBm"
19,"1267977 ms, 1928 mm, -80 dBm"
20,"1268053 ms, 1924 mm, -80 dBm"
21,"1268130 ms, 1905 mm, -80 dBm"
22,"1268207 ms, 1943 mm, -80 dBm"
23,"1268283 ms, 1905 mm, -80 dBm"
24,"1268360 ms, 1910 mm, -80 dBm"
25,"1268437 ms, 1919 mm, -80 dBm"
26,"1268514 ms, 1900 mm, -80 dBm"
27,"1268591 ms, 1919 mm, -80 dBm"
