count,x,y,z
1,4640,4745,1282
21,3670,4097,1521
22,3646,4151,1423
23,3682,4192,1508
24,3673,4172,1437
25,3661,4133,1451
26,3625,4175,1375
27,3584,4166,1451
28,3565,4155,1420
29,3566,4187,1407
30,3574,4219,1433
31,3544,4218,1440
32,3547,4248,1424
33,3557,4213,1468
34,3552,4250,1466
35,3555,4268,1490
36,3553,4287,1511
37,3521,4318,1501
38,3465,4235,1490
39,3533,4346,1573
40,3403,4254,1390
41,3430,4319,1497
42,3452,4275,1509
43,3436,4336,1544
44,3496,4372,1660
45,3369,4302,1536
46,3363,4267,1515
47,3352,4352,1487
48,3295,4269,1549
49,3291,4296,1508
50,3240,4242,1405
51,3221,4230,1495
52,3232,4271,1482
53,3160,4304,1412
54,3177,4259,1491
55,3172,4292,1495
56,3153,4274,1371
57,3172,4292,1495
58,3074,4349,1435
59,3065,4281,1403
60,3077,4258,1414
61,3015,4274,1357
62,2971,4226,1325
63,2931,4220,1344
64,2930,4156,1364
65,2914,4207,1368
66,2906,4236,1328
67,2988,4136,409
68,2831,4200,1341
69,2858,4220,1370
70,2864,4241,1446
71,2858,4174,1421
72,2781,4190,1492
73,2769,4230,1509
74,2750,4239,1526
75,2731,4213,1515
76,2737,4214,1562
77,2742,4233,1634
78,2695,4246,1559
79,2675,4256,1575
80,2687,4237,1582
81,2656,4201,1613
82,2604,4202,1560
83,2575,4175,1517
84,2580,4167,1568
85,2519,4188,1556
86,2509,4197,1604
87,2500,4187,1628
88,2495,4183,1583
89,2469,4183,1647
90,2435,4178,1641
91,2396,4151,1661
92,2352,4104,1661
93,2299,4155,1647
94,2313,4106,1688
95,2274,4098,1637
96,2111,3921,1935
97,2190,4062,1657
98,2153,4072,1602
99,2136,4038,1654
100,2107,4058,1646
101,2104,4021,1721
102,2061,4009,1689
103,2091,3968,1700
104,2012,3985,1709
105,2002,3943,1722
106,2005,3955,1732
107,1976,3954,1717
108,1936,3940,1715
109,1948,3907,1752
110,1953,3931,1673
111,1974,3986,1600
112,1984,3970,1608
113,1912,3931,1650
114,1896,3911,1679
115,1876,3869,1687
116,1848,3836,1697
117,1853,3789,1716
118,1765,3746,1738
119,1804,3739,1761
120,1751,3691,1828
121,1758,3686,1796
122,1769,3700,1748
123,1749,3677,1662
124,1710,3666,1653
125,1743,3610,1679
126,1714,3642,1673
127,1693,3583,1695
128,1684,3571,1691
129,1725,3603,1632
130,1702,3598,1622
131,1690,3559,1645
132,1718,3583,1647
133,1665,3538,1675
134,1685,3540,1608
135,1652,3472,1601
136,1625,3474,1611
137,1612,3439,1611
138,1618,3432,1597
139,1639,3410,1593
140,1601,3402,1578
141,1589,3365,1581
142,1609,3321,1526
143,1605,3349,1559
144,1602,3328,1532
145,1602,3327,1567
146,1584,3295,1560
147,1568,3263,1542
148,1593,3235,1529
149,1585,3224,1521
150,1585,3198,1546
151,1562,3165,1521
152,1570,3156,1510
153,1568,3108,1476
154,1621,3084,1503
155,1560,3062,1495
156,1620,3037,1467
157,1618,2987,1465
158,1603,2997,1496
159,1604,2947,1501
