count,x,y,z
1,1921,1544,947
2,1831,1626,947
3,1943,1618,947
4,1924,1497,947
5,1893,1474,947
6,1852,1619,947
7,1843,1725,947
8,1854,1656,947
9,1871,1564,947
10,1810,1650,947
11,1941,1506,947
12,1864,1636,947
13,1914,1595,947
14,1818,1714,947
15,1853,1570,947
16,1921,1450,947
17,1821,1628,947
18,1842,1657,947
19,1843,1678,947
20,1902,1569,947
21,1925,1582,947
22,1854,1705,947
23,1893,1507,947
24,1854,1656,947
25,1864,1684,947
26,1913,1529,947
27,1841,1666,947
28,1854,1609,947
29,1912,1511,947
30,1834,1697,947
31,1811,1703,947
32,1862,1648,947
33,1857,1571,947
34,1918,1499,947
35,1913,1529,947
36,1913,1529,947
37,1854,1626,947
38,1914,1507,947
39,1865,1624,947
40,1838,1573,947
41,1832,1645,947
42,1882,1561,947
43,1821,1618,947
44,1895,1470,947
45,1853,1608,947
46,1840,1720,947
47,1894,1512,947
48,1860,1568,947
49,1872,1585,947
50,1916,1548,947
51,1893,1612,947
52,1894,1512,947
53,1945,1502,947
54,1845,1637,947
55,1852,1619,947
56,1830,1673,947
57,1924,1497,947
58,1891,1490,947
59,1893,1549,947
60,1821,1683,947
61,1924,1559,947
62,1852,1669,947
63,1834,1697,947
64,1852,1749,947
65,1830,1656,947
66,1841,1684,947
67,1862,1648,947
68,1938,1419,947
69,1899,1490,947
70,1927,1514,947
71,1811,1703,947
72,1903,1642,947
73,1876,1600,947
74,1877,1485,947
75,1888,1486,947
76,1826,1584,947
77,1899,1479,947
78,1864,1499,947
79,1807,1671,947
80,1876,1600,947
81,1858,1633,947
82,1819,1657,947
83,1829,1638,947
84,1847,1506,947
85,1860,1592,947
86,1837,1580,947
87,1795,1674,947
88,1824,1706,947
89,1828,1552,947
90,1822,1657,947
91,1902,1475,947
92,1864,1759,947
93,1810,1719,947
94,1799,1786,947
95,1801,1743,947
96,1883,1583,947
97,1800,1692,947
98,1903,1493,947
99,1843,1694,947
100,1844,1652,947
101,1852,1642,947
102,1951,1477,947
103,1851,1687,947
104,1884,1634,947
105,1863,1725,947
106,1881,1506,947
107,1812,1753,947
108,1875,1423,947
109,1841,1605,947
110,1797,1646,947
111,1805,1537,947
112,1887,1446,947
113,1819,1562,947
114,1837,1608,947
115,1877,1546,947
116,1878,1471,947
117,1828,1590,947
118,1856,1509,947
119,1846,1534,947
120,1869,1489,947
121,1787,1620,947
122,1795,1638,947
123,1870,1507,947
124,1840,1576,947
125,1889,1499,947
126,1810,1594,947
127,1848,1493,947
128,1819,1611,947
129,1811,1667,947
130,1850,1602,947
131,1867,1443,947
132,1907,1411,947
133,1839,1617,947
134,1868,1495,947
135,1880,1483,947
136,1833,1496,947
137,1880,1513,947
138,1837,1608,947
139,1839,1647,947
140,1870,1507,947
141,1892,1422,947
142,1911,1409,947
143,1842,1567,947
144,1911,1502,947
145,1892,1552,947
146,1859,1518,947
147,1938,1407,947
148,1854,1648,947
149,1864,1578,947
150,1832,1637,947
151,1810,1719,947
152,1871,1557,947
153,1861,1664,947
154,1841,1656,947
155,1882,1555,947
156,1863,1638,947
157,1901,1570,947
158,1892,1552,947
159,1821,1729,947
160,1871,1589,947
161,1884,1615,947
162,1906,1609,947
163,1831,1678,947
164,1931,1468,947
165,1920,1483,947
166,1836,1712,947
167,1871,1589,947
168,1799,1657,947
169,1872,1674,947
170,1891,1498,947
171,1948,1377,947
172,1872,1547,947
173,1941,1532,947
174,1924,1487,947
175,1913,1492,947
176,1831,1810,947
177,1874,1606,947
