count,data
1, 974908  ms,  4719  mm,  -80  dBm 
2, 975142  ms,  4742  mm,  -80  dBm 
3, 0  ms,  0  mm,  0  dBm 
4, 975406  ms,  4747  mm,  -80  dBm 
5, 975607  ms,  4747  mm,  -80  dBm 
6, 975871  ms,  4705  mm,  -80  dBm 
7, 0  ms,  0  mm,  0  dBm 
8, 976121  ms,  4747  mm,  -80  dBm 
9, 976323  ms,  4738  mm,  -80  dBm 
10, 976522  ms,  4672  mm,  -80  dBm 
11, 976754  ms,  4733  mm,  -80  dBm 
12, 976971  ms,  4733  mm,  -80  dBm 
13, 977173  ms,  4728  mm,  -80  dBm 
14, 977436  ms,  4752  mm,  -80  dBm 
15, 977638  ms,  4728  mm,  -80  dBm 
16, 977871  ms,  4714  mm,  -80  dBm 
17, 978198  ms,  4728  mm,  -80  dBm 
18, 0  ms,  0  mm,  0  dBm 
19, 978431  ms,  4757  mm,  -81  dBm 
20, 0  ms,  0  mm,  0  dBm 
21, 978725  ms,  4742  mm,  -80  dBm 
22, 978955  ms,  4728  mm,  -80  dBm 
23, 979262  ms,  4719  mm,  -80  dBm 
24, 979496  ms,  4752  mm,  -80  dBm 
25, 979791  ms,  4742  mm,  -80  dBm 
26, 980055  ms,  4742  mm,  -80  dBm 
27, 980287  ms,  4724  mm,  -80  dBm 
28, 980489  ms,  4742  mm,  -81  dBm 
29, 980754  ms,  4710  mm,  -80  dBm 
30, 980956  ms,  4738  mm,  -80  dBm 
31, 981157  ms,  4710  mm,  -80  dBm 
32, 981358  ms,  4738  mm,  -80  dBm 
33, 981592  ms,  4719  mm,  -80  dBm 
34, 981794  ms,  4733  mm,  -80  dBm 
35, 981995  ms,  4714  mm,  -80  dBm 
36, 982198  ms,  4738  mm,  -80  dBm 
37, 982400  ms,  4747  mm,  -80  dBm 
38, 982601  ms,  4738  mm,  -80  dBm 
39, 982834  ms,  4728  mm,  -80  dBm 
40, 983035  ms,  4742  mm,  -80  dBm 
41, 983268  ms,  4691  mm,  -80  dBm 
42, 983502  ms,  4691  mm,  -80  dBm 
43, 983502  ms,  4691  mm,  -80  dBm 
44, 983980  ms,  4728  mm,  -80  dBm 
45, 984211  ms,  4714  mm,  -80  dBm 
46, 984444  ms,  4700  mm,  -80  dBm 
47, 984707  ms,  4691  mm,  -80  dBm 
48, 984910  ms,  4724  mm,  -80  dBm 
49, 985112  ms,  4700  mm,  -80  dBm 
50, 0  ms,  0  mm,  0  dBm 
51, 985391  ms,  4696  mm,  -80  dBm 
52, 985672  ms,  4742  mm,  -80  dBm 
53, 985903  ms,  4724  mm,  -80  dBm 
54, 986105  ms,  4747  mm,  -80  dBm 
55, 986308  ms,  4733  mm,  -81  dBm 
56, 986510  ms,  4686  mm,  -80  dBm 
57, 986712  ms,  4724  mm,  -80  dBm 
58, 986944  ms,  4733  mm,  -80  dBm 
59, 987146  ms,  4710  mm,  -80  dBm 
60, 987348  ms,  4752  mm,  -80  dBm 
61, 987535  ms,  4733  mm,  -80  dBm 
62, 987767  ms,  4700  mm,  -80  dBm 
63, 987969  ms,  4696  mm,  -80  dBm 
64, 988171  ms,  4738  mm,  -80  dBm 
65, 988373  ms,  4752  mm,  -80  dBm 
66, 988606  ms,  4705  mm,  -80  dBm 
67, 988837  ms,  4738  mm,  -80  dBm 
68, 989037  ms,  4700  mm,  -81  dBm 
69, 989268  ms,  4714  mm,  -80  dBm 
70, 989469  ms,  4738  mm,  -81  dBm 
71, 989732  ms,  4752  mm,  -80  dBm 
72, 989934  ms,  4747  mm,  -80  dBm 
73, 990167  ms,  4705  mm,  -80  dBm 
74, 990431  ms,  4724  mm,  -80  dBm 
75, 990711  ms,  4705  mm,  -80  dBm 
76, 990914  ms,  4752  mm,  -80  dBm 
77, 991115  ms,  4738  mm,  -80  dBm 
78, 991427  ms,  4742  mm,  -80  dBm 
79, 991660  ms,  4747  mm,  -80  dBm 
80, 991893  ms,  4696  mm,  -80  dBm 
81, 0  ms,  0  mm,  0  dBm 
82, 0  ms,  0  mm,  0  dBm 
83, 0  ms,  0  mm,  0  dBm 
84, 992250  ms,  4714  mm,  -80  dBm 
85, 992529  ms,  4728  mm,  -80  dBm 
86, 0  ms,  0  mm,  0  dBm 
87, 993089  ms,  4728  mm,  -80  dBm 
88, 993307  ms,  4724  mm,  -80  dBm 
89, 993539  ms,  4710  mm,  -80  dBm 
90, 993740  ms,  4752  mm,  -80  dBm 
91, 993970  ms,  4728  mm,  -80  dBm 
92, 994170  ms,  4728  mm,  -80  dBm 
93, 994371  ms,  4714  mm,  -80  dBm 
94, 994604  ms,  4700  mm,  -80  dBm 
95, 994837  ms,  4705  mm,  -81  dBm 
96, 995039  ms,  4691  mm,  -80  dBm 
