count,data
1, 121966  ms,  348  mm,  -79  dBm 
2, 122200  ms,  301  mm,  -78  dBm 
3, 122450  ms,  311  mm,  -79  dBm 
4, 122713  ms,  348  mm,  -79  dBm 
5, 122978  ms,  339  mm,  -78  dBm 
6, 123238  ms,  245  mm,  -79  dBm 
7, 123671  ms,  325  mm,  -78  dBm 
8, 0  ms,  0  mm,  0  dBm 
9, 123934  ms,  282  mm,  -79  dBm 
10, 124228  ms,  315  mm,  -79  dBm 
11, 124571  ms,  301  mm,  -78  dBm 
12, 0  ms,  0  mm,  0  dBm 
13, 124864  ms,  287  mm,  -79  dBm 
14, 125191  ms,  386  mm,  -79  dBm 
15, 0  ms,  0  mm,  0  dBm 
16, 125843  ms,  320  mm,  -79  dBm 
17, 126075  ms,  297  mm,  -79  dBm 
18, 126276  ms,  320  mm,  -78  dBm 
19, 126600  ms,  315  mm,  -79  dBm 
20, 126801  ms,  334  mm,  -79  dBm 
21, 127049  ms,  287  mm,  -78  dBm 
22, 127310  ms,  357  mm,  -78  dBm 
23, 0  ms,  0  mm,  0  dBm 
24, 127540  ms,  315  mm,  -79  dBm 
25, 127787  ms,  311  mm,  -78  dBm 
26, 128049  ms,  306  mm,  -79  dBm 
27, 128280  ms,  264  mm,  -79  dBm 
28, 0  ms,  0  mm,  0  dBm 
29, 128556  ms,  339  mm,  -79  dBm 
30, 128943  ms,  479  mm,  -78  dBm 
31, 129204  ms,  418  mm,  -79  dBm 
32, 129435  ms,  479  mm,  -79  dBm 
33, 0  ms,  0  mm,  0  dBm 
34, 0  ms,  0  mm,  0  dBm 
35, 0  ms,  0  mm,  0  dBm 
36, 129820  ms,  601  mm,  -78  dBm 
37, 0  ms,  0  mm,  0  dBm 
38, 130051  ms,  615  mm,  -78  dBm 
39, 130407  ms,  475  mm,  -78  dBm 
40, 130730  ms,  531  mm,  -79  dBm 
41, 0  ms,  0  mm,  0  dBm 
42, 0  ms,  0  mm,  0  dBm 
43, 131068  ms,  503  mm,  -78  dBm 
44, 131391  ms,  601  mm,  -78  dBm 
45, 131639  ms,  554  mm,  -78  dBm 
46, 131871  ms,  867  mm,  -79  dBm 
47, 132151  ms,  698  mm,  -79  dBm 
48, 132430  ms,  787  mm,  -79  dBm 
49, 132631  ms,  768  mm,  -79  dBm 
50, 0  ms,  0  mm,  0  dBm 
51, 0  ms,  0  mm,  0  dBm 
52, 133313  ms,  787  mm,  -78  dBm 
53, 0  ms,  0  mm,  0  dBm 
54, 133916  ms,  806  mm,  -79  dBm 
55, 0  ms,  0  mm,  0  dBm 
56, 0  ms,  0  mm,  0  dBm 
57, 134415  ms,  875  mm,  -79  dBm 
58, 0  ms,  0  mm,  0  dBm 
59, 0  ms,  0  mm,  0  dBm 
60, 134678  ms,  870  mm,  -79  dBm 
61, 0  ms,  0  mm,  0  dBm 
62, 0  ms,  0  mm,  0  dBm 
63, 135066  ms,  839  mm,  -79  dBm 
64, 135299  ms,  881  mm,  -79  dBm 
65, 0  ms,  0  mm,  0  dBm 
66, 0  ms,  0  mm,  0  dBm 
67, 135856  ms,  825  mm,  -79  dBm 
68, 136119  ms,  889  mm,  -79  dBm 
69, 136429  ms,  881  mm,  -79  dBm 
70, 136675  ms,  870  mm,  -79  dBm 
71, 0  ms,  0  mm,  0  dBm 
72, 0  ms,  0  mm,  0  dBm 
73, 0  ms,  0  mm,  0  dBm 
74, 137375  ms,  880  mm,  -79  dBm 
75, 137576  ms,  875  mm,  -78  dBm 
76, 137887  ms,  886  mm,  -79  dBm 
77, 0  ms,  0  mm,  0  dBm 
78, 0  ms,  0  mm,  0  dBm 
79, 138227  ms,  881  mm,  -79  dBm 
80, 138519  ms,  894  mm,  -78  dBm 
81, 138814  ms,  872  mm,  -79  dBm 
82, 139046  ms,  884  mm,  -78  dBm 
83, 139279  ms,  825  mm,  -79  dBm 
84, 139605  ms,  881  mm,  -79  dBm 
85, 139837  ms,  886  mm,  -78  dBm 
86, 0  ms,  0  mm,  0  dBm 
87, 0  ms,  0  mm,  0  dBm 
88, 0  ms,  0  mm,  0  dBm 
89, 0  ms,  0  mm,  0  dBm 
90, 0  ms,  0  mm,  0  dBm 
91, 140597  ms,  894  mm,  -79  dBm 
92, 140861  ms,  875  mm,  -79  dBm 
93, 141062  ms,  872  mm,  -79  dBm 
94, 141326  ms,  881  mm,  -79  dBm 
95, 0  ms,  0  mm,  0  dBm 
96, 0  ms,  0  mm,  0  dBm 
97, 0  ms,  0  mm,  0  dBm 
98, 0  ms,  0  mm,  0  dBm 
99, 0  ms,  0  mm,  0  dBm 
100, 0  ms,  0  mm,  0  dBm 
101, 0  ms,  0  mm,  0  dBm 
102, 0  ms,  0  mm,  0  dBm 
103, 0  ms,  0  mm,  0  dBm 
104, 0  ms,  0  mm,  0  dBm 
105, 0  ms,  0  mm,  0  dBm 
106, 0  ms,  0  mm,  0  dBm 
107, 0  ms,  0  mm,  0  dBm 
108, 0  ms,  0  mm,  0  dBm 
109, 0  ms,  0  mm,  0  dBm 
110, 0  ms,  0  mm,  0  dBm 
111, 0  ms,  0  mm,  0  dBm 
112, 0  ms,  0  mm,  0  dBm 
113, 0  ms,  0  mm,  0  dBm 
114, 0  ms,  0  mm,  0  dBm 
115, 0  ms,  0  mm,  0  dBm 
116, 0  ms,  0  mm,  0  dBm 
