count,data
1, 731777  ms,  4771  mm,  -90  dBm 
2, 731950  ms,  4738  mm,  -89  dBm 
3, 732120  ms,  4775  mm,  -89  dBm 
4, 732291  ms,  4752  mm,  -90  dBm 
5, 0  ms,  0  mm,  0  dBm 
6, 732491  ms,  4860  mm,  -89  dBm 
7, 732677  ms,  4747  mm,  -89  dBm 
8, 732847  ms,  4817  mm,  -89  dBm 
9, 733017  ms,  4803  mm,  -89  dBm 
10, 733187  ms,  4850  mm,  -89  dBm 
11, 733353  ms,  4747  mm,  -90  dBm 
12, 733523  ms,  4738  mm,  -90  dBm 
13, 733695  ms,  4757  mm,  -89  dBm 
14, 733866  ms,  4771  mm,  -89  dBm 
15, 734036  ms,  4841  mm,  -89  dBm 
16, 734205  ms,  4757  mm,  -89  dBm 
17, 734377  ms,  4799  mm,  -89  dBm 
18, 734546  ms,  4771  mm,  -89  dBm 
19, 734716  ms,  4813  mm,  -89  dBm 
20, 734887  ms,  4780  mm,  -90  dBm 
21, 735058  ms,  4822  mm,  -89  dBm 
22, 735228  ms,  4813  mm,  -89  dBm 
23, 735399  ms,  4836  mm,  -88  dBm 
24, 735569  ms,  4766  mm,  -90  dBm 
25, 735739  ms,  4794  mm,  -89  dBm 
26, 735910  ms,  4841  mm,  -89  dBm 
27, 736079  ms,  4803  mm,  -90  dBm 
28, 736250  ms,  4864  mm,  -88  dBm 
29, 736419  ms,  4466  mm,  -92  dBm 
30, 736591  ms,  4874  mm,  -87  dBm 
31, 736761  ms,  4794  mm,  -86  dBm 
32, 736930  ms,  4789  mm,  -87  dBm 
33, 737100  ms,  4696  mm,  -89  dBm 
34, 737271  ms,  4747  mm,  -88  dBm 
35, 737442  ms,  4766  mm,  -89  dBm 
36, 737611  ms,  4841  mm,  -91  dBm 
37, 737782  ms,  4574  mm,  -92  dBm 
38, 737953  ms,  4681  mm,  -90  dBm 
39, 738124  ms,  4639  mm,  -90  dBm 
40, 738293  ms,  5117  mm,  -92  dBm 
41, 738459  ms,  4850  mm,  -90  dBm 
42, 738629  ms,  4813  mm,  -90  dBm 
43, 738802  ms,  4850  mm,  -89  dBm 
44, 738972  ms,  4719  mm,  -92  dBm 
45, 739143  ms,  4789  mm,  -91  dBm 
46, 739314  ms,  4757  mm,  -91  dBm 
47, 739484  ms,  4691  mm,  -90  dBm 
48, 739655  ms,  4606  mm,  -89  dBm 
49, 739826  ms,  4625  mm,  -89  dBm 
50, 739996  ms,  4733  mm,  -90  dBm 
51, 740166  ms,  4761  mm,  -90  dBm 
52, 740337  ms,  4803  mm,  -90  dBm 
53, 740508  ms,  4789  mm,  -90  dBm 
54, 740678  ms,  4733  mm,  -90  dBm 
55, 740848  ms,  4794  mm,  -90  dBm 
56, 741018  ms,  4752  mm,  -89  dBm 
57, 741189  ms,  4696  mm,  -90  dBm 
58, 741359  ms,  4850  mm,  -90  dBm 
59, 741530  ms,  4686  mm,  -90  dBm 
60, 741702  ms,  4691  mm,  -90  dBm 
61, 741871  ms,  4677  mm,  -91  dBm 
