count,data
1, 859209  ms,  4625  mm,  -88  dBm 
2, 859396  ms,  4606  mm,  -89  dBm 
3, 859567  ms,  4611  mm,  -88  dBm 
4, 859752  ms,  4672  mm,  -88  dBm 
5, 859923  ms,  4583  mm,  -89  dBm 
6, 860094  ms,  4635  mm,  -89  dBm 
7, 860265  ms,  4597  mm,  -89  dBm 
8, 860434  ms,  4616  mm,  -89  dBm 
9, 860603  ms,  4635  mm,  -89  dBm 
10, 860773  ms,  4625  mm,  -88  dBm 
11, 860942  ms,  4653  mm,  -89  dBm 
12, 861111  ms,  4620  mm,  -89  dBm 
13, 861280  ms,  4620  mm,  -88  dBm 
14, 861449  ms,  4588  mm,  -89  dBm 
15, 861619  ms,  4635  mm,  -89  dBm 
16, 861787  ms,  4625  mm,  -89  dBm 
17, 861957  ms,  4653  mm,  -89  dBm 
18, 862126  ms,  4578  mm,  -88  dBm 
19, 862295  ms,  4606  mm,  -89  dBm 
20, 862463  ms,  4606  mm,  -89  dBm 
21, 862633  ms,  4639  mm,  -88  dBm 
22, 862806  ms,  4616  mm,  -89  dBm 
23, 862976  ms,  4592  mm,  -89  dBm 
24, 862976  ms,  4592  mm,  -89  dBm 
25, 863318  ms,  4592  mm,  -90  dBm 
26, 863487  ms,  4560  mm,  -90  dBm 
27, 863653  ms,  4663  mm,  -89  dBm 
28, 863822  ms,  4592  mm,  -90  dBm 
29, 864013  ms,  4635  mm,  -89  dBm 
30, 864260  ms,  4639  mm,  -89  dBm 
31, 864430  ms,  4625  mm,  -89  dBm 
32, 864601  ms,  4602  mm,  -90  dBm 
33, 864771  ms,  4597  mm,  -89  dBm 
34, 864942  ms,  4597  mm,  -90  dBm 
35, 865113  ms,  4592  mm,  -90  dBm 
36, 865283  ms,  4677  mm,  -89  dBm 
37, 865453  ms,  4653  mm,  -90  dBm 
38, 865623  ms,  4611  mm,  -90  dBm 
39, 865792  ms,  4681  mm,  -90  dBm 
40, 865963  ms,  4606  mm,  -89  dBm 
41, 866133  ms,  4658  mm,  -90  dBm 
42, 866303  ms,  4710  mm,  -90  dBm 
43, 866473  ms,  4569  mm,  -89  dBm 
44, 0  ms,  0  mm,  0  dBm 
45, 866673  ms,  4606  mm,  -90  dBm 
46, 866891  ms,  4630  mm,  -90  dBm 
47, 867060  ms,  4578  mm,  -90  dBm 
48, 867231  ms,  4691  mm,  -88  dBm 
49, 867401  ms,  4635  mm,  -89  dBm 
50, 867572  ms,  4653  mm,  -89  dBm 
51, 867743  ms,  4630  mm,  -88  dBm 
52, 867914  ms,  4606  mm,  -88  dBm 
53, 868085  ms,  4644  mm,  -89  dBm 
54, 868255  ms,  4606  mm,  -90  dBm 
55, 868426  ms,  4649  mm,  -90  dBm 
56, 868596  ms,  4625  mm,  -89  dBm 
57, 868765  ms,  4649  mm,  -90  dBm 
58, 868930  ms,  4616  mm,  -89  dBm 
59, 869100  ms,  4625  mm,  -89  dBm 
60, 869274  ms,  4644  mm,  -89  dBm 
