count,data
1, 0  ms,  0  mm,  0  dBm 
2, 0  ms,  0  mm,  0  dBm 
3, 0  ms,  0  mm,  0  dBm 
4, 0  ms,  0  mm,  0  dBm 
5, 0  ms,  0  mm,  0  dBm 
6, 43313  ms,  315  mm,  -79  dBm 
7, 43591  ms,  348  mm,  -78  dBm 
8, 43917  ms,  339  mm,  -79  dBm 
9, 44274  ms,  339  mm,  -79  dBm 
10, 0  ms,  0  mm,  0  dBm 
11, 0  ms,  0  mm,  0  dBm 
12, 0  ms,  0  mm,  0  dBm 
13, 0  ms,  0  mm,  0  dBm 
14, 0  ms,  0  mm,  0  dBm 
15, 0  ms,  0  mm,  0  dBm 
16, 0  ms,  0  mm,  0  dBm 
17, 0  ms,  0  mm,  0  dBm 
18, 44782  ms,  339  mm,  -78  dBm 
19, 45028  ms,  325  mm,  -79  dBm 
20, 45228  ms,  311  mm,  -78  dBm 
21, 0  ms,  0  mm,  0  dBm 
22, 0  ms,  0  mm,  0  dBm 
23, 0  ms,  0  mm,  0  dBm 
24, 0  ms,  0  mm,  0  dBm 
25, 0  ms,  0  mm,  0  dBm 
26, 0  ms,  0  mm,  0  dBm 
27, 0  ms,  0  mm,  0  dBm 
28, 45781  ms,  334  mm,  -79  dBm 
29, 0  ms,  0  mm,  0  dBm 
30, 0  ms,  0  mm,  0  dBm 
31, 0  ms,  0  mm,  0  dBm 
32, 0  ms,  0  mm,  0  dBm 
33, 0  ms,  0  mm,  0  dBm 
34, 0  ms,  0  mm,  0  dBm 
35, 0  ms,  0  mm,  0  dBm 
36, 0  ms,  0  mm,  0  dBm 
37, 0  ms,  0  mm,  0  dBm 
38, 0  ms,  0  mm,  0  dBm 
39, 0  ms,  0  mm,  0  dBm 
40, 0  ms,  0  mm,  0  dBm 
41, 0  ms,  0  mm,  0  dBm 
42, 0  ms,  0  mm,  0  dBm 
43, 0  ms,  0  mm,  0  dBm 
44, 0  ms,  0  mm,  0  dBm 
