count,x,y,z
1,1272,3450,1707
2,-339,2135,3071
3,-315,2180,3063
4,-319,2118,3126
5,-371,2112,3134
6,-376,2137,3077
7,-339,2135,3071
8,-353,2153,3039
9,-339,2135,3071
10,-332,2110,3092
11,-366,2152,3092
12,-398,2094,3117
13,-372,2175,3052
14,-361,2147,3075
15,-391,2128,3081
16,-408,2151,3102
17,-430,2186,3054
18,-358,2122,3126
19,1138,4615,1815
20,1129,4653,1833
21,1154,4631,1841
22,1162,4632,1816
23,1217,4593,1798
24,1246,4619,1806
25,1236,4656,1824
26,1124,4605,1830
27,1149,4668,1790
28,1095,4613,1780
29,1140,4619,1853
30,1142,4615,1743
31,1170,4555,1880
32,1185,4612,1819
33,1202,4588,1847
34,1120,4648,1806
35,1178,4609,1843
36,1149,4572,1878
37,1147,4595,1926
38,1160,4678,1753
39,1194,4660,1779
40,1191,4621,1852
41,1188,4655,1808
42,1190,4662,1848
43,1230,4577,1969
44,1153,4631,1860
45,1159,4630,1797
46,1226,4615,1870
47,1183,4609,1801
48,1180,4614,1838
49,1165,4599,1886
50,1212,4626,1909
51,1147,4636,1824
52,1191,4616,1895
53,1181,4655,1870
54,1166,4657,1912
55,1250,4677,1875
56,1243,4651,1926
57,1214,4650,1885
58,1173,4642,1817
59,1130,4614,1899
60,1159,4602,1909
61,1143,4626,1882
62,1173,4579,1933
63,1173,4619,1932
64,1146,4629,1926
65,1186,4662,1877
66,1211,4602,1885
67,1215,4634,1952
68,1197,4631,1899
69,1186,4677,1948
70,1186,4658,1856
71,1160,4633,1891
72,1194,4620,1835
73,1243,4664,1840
74,1220,4657,1913
75,1220,4683,1834
76,1149,4668,1790
77,1173,4606,1877
78,1187,4582,1985
79,1173,4650,1839
80,1154,4596,1878
81,1204,4592,1891
82,1175,4566,1882
83,1152,4591,1916
84,1161,4553,1900
85,1147,4628,1867
86,1144,4664,1819
87,1142,4620,1859
88,1144,4664,1819
89,1121,4689,1854
90,1122,4653,1780
91,1042,4674,1718
92,1132,4659,1875
93,1096,4581,1898
94,1145,4581,1921
95,1145,4581,1921
96,1088,4577,1911
97,1103,4542,1867
98,1119,4598,1890
99,1107,4549,1880
100,1074,4516,1827
