count,x,y,z
1,1702,1880,1263
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,4353,2186,1967
9,0,0,0
10,4378,2150,1949
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,1713,1836,1108
20,1736,1831,1243
21,1710,1810,1238
22,1771,1820,1354
23,1766,1826,950
24,1727,1857,1280
25,1761,1836,1157
26,1771,1820,1354
27,1733,1778,1113
28,1764,1829,1006
29,1784,1775,989
30,1752,1801,851
31,1764,1829,1006
32,1785,1775,649
33,1721,1890,1245
34,1726,1845,1115
35,1703,1851,1194
36,1743,1826,1041
37,1774,1873,1141
38,1746,1835,1252
39,1764,1856,1090
40,1728,1905,1227
41,1790,1808,844
42,1747,1920,1139
43,1772,1801,1351
44,1751,1871,1019
45,1777,1834,959
46,1773,1806,860
47,1795,1736,927
48,1733,1799,1268
49,1810,1772,892
50,1758,1798,845
51,1783,1814,1345
52,1734,1827,1189
53,1766,1776,876
54,1777,1834,959
55,1771,1810,927
56,1738,1818,999
57,1754,1878,1197
58,1832,1732,596
59,1764,1781,938
60,1732,1875,1161
61,1724,1813,1261
62,1704,1903,1177
63,1715,1900,1075
64,1742,1853,1035
65,1727,1873,954
66,1747,1804,908
67,1744,1876,1249
68,1717,1848,1169
69,1749,1843,936
70,1734,1893,1268
71,1725,1837,921
72,1721,1820,1089
73,1744,1821,1207
74,1731,1806,1216
75,1783,1766,871
76,1795,1745,1048
77,1734,1842,1246
78,1756,1723,817
79,1763,1754,865
80,1791,1745,902
81,1745,1828,1159
82,1714,1830,1183
83,1731,1751,1025
84,1721,1726,1090
85,1726,1812,1047
86,1750,1780,1203
87,1688,1799,1225
88,1714,1794,1093
89,1776,1805,972
90,1731,1839,903
91,1736,1836,1074
92,1720,1885,1132
93,1746,1846,920
94,1714,1862,876
95,1718,1889,1242
96,1740,1821,818
97,1736,1896,1195
98,1763,1750,881
99,1756,1836,1210
100,1755,1830,834
101,1720,1885,1132
102,1773,1837,1011
103,1713,1897,1282
104,1753,1805,890
105,1773,1837,1011
106,1755,1727,901
107,1760,1735,809
108,1720,1824,1331
109,1729,1781,1047
110,1703,1781,1291
111,1762,1804,1127
112,1721,1825,1278
113,1827,2118,894
114,1722,1813,872
115,1749,1810,1161
116,1729,1877,1256
117,1794,1779,906
118,1722,1821,1073
119,1715,1802,1242
120,1701,1850,1087
121,1726,1812,1031
122,1771,1774,942
123,1760,1779,839
124,1766,1782,1087
125,1753,1764,925
126,1749,1798,908
127,1726,1803,1279
128,1728,1831,1128
129,1788,1811,938
130,1758,1787,1030
131,1718,1820,1281
132,1774,1802,924
133,1741,1811,997
134,1795,1682,614
135,1774,1794,1203
