count,data
1, 1913850  ms,  24868  mm,  -96  dBm 
2, 1914018  ms,  24882  mm,  -96  dBm 
3, 1914187  ms,  24844  mm,  -96  dBm 
4, 1914356  ms,  24793  mm,  -96  dBm 
5, 1914524  ms,  24858  mm,  -96  dBm 
6, 1914693  ms,  24887  mm,  -96  dBm 
7, 1914862  ms,  24854  mm,  -96  dBm 
8, 1915032  ms,  24830  mm,  -96  dBm 
9, 1915200  ms,  24816  mm,  -96  dBm 
10, 1915369  ms,  24840  mm,  -95  dBm 
11, 1915537  ms,  24877  mm,  -97  dBm 
12, 1915707  ms,  24858  mm,  -96  dBm 
13, 1915877  ms,  24873  mm,  -96  dBm 
14, 1916047  ms,  24830  mm,  -95  dBm 
15, 1916215  ms,  24807  mm,  -96  dBm 
16, 1916386  ms,  24863  mm,  -97  dBm 
17, 1916557  ms,  24830  mm,  -95  dBm 
18, 1916727  ms,  24840  mm,  -95  dBm 
19, 1916898  ms,  24807  mm,  -96  dBm 
20, 1917068  ms,  24835  mm,  -97  dBm 
21, 1917237  ms,  24887  mm,  -96  dBm 
22, 1917408  ms,  24835  mm,  -96  dBm 
23, 1917579  ms,  24844  mm,  -96  dBm 
24, 1917749  ms,  24858  mm,  -95  dBm 
25, 1917920  ms,  24816  mm,  -96  dBm 
26, 1918091  ms,  24821  mm,  -97  dBm 
27, 1918261  ms,  24887  mm,  -96  dBm 
28, 1918431  ms,  24849  mm,  -96  dBm 
29, 1918603  ms,  24863  mm,  -96  dBm 
30, 1918773  ms,  24854  mm,  -96  dBm 
31, 1918944  ms,  24858  mm,  -96  dBm 
32, 1919115  ms,  24826  mm,  -96  dBm 
33, 1919285  ms,  24882  mm,  -95  dBm 
34, 1919456  ms,  24863  mm,  -95  dBm 
35, 1919626  ms,  24816  mm,  -96  dBm 
36, 1919795  ms,  24873  mm,  -96  dBm 
37, 0  ms,  0  mm,  0  dBm 
38, 1919994  ms,  24877  mm,  -96  dBm 
39, 1920180  ms,  24877  mm,  -96  dBm 
40, 1920350  ms,  24896  mm,  -96  dBm 
41, 1920521  ms,  24826  mm,  -97  dBm 
42, 1920691  ms,  24873  mm,  -95  dBm 
43, 1920862  ms,  24849  mm,  -96  dBm 
44, 1921032  ms,  24868  mm,  -96  dBm 
45, 1921203  ms,  24873  mm,  -95  dBm 
46, 1921373  ms,  24863  mm,  -96  dBm 
47, 1921544  ms,  24835  mm,  -95  dBm 
48, 1921715  ms,  24821  mm,  -96  dBm 
49, 0  ms,  0  mm,  0  dBm 
50, 1921917  ms,  24849  mm,  -95  dBm 
51, 1922087  ms,  24873  mm,  -95  dBm 
52, 1922258  ms,  24816  mm,  -95  dBm 
53, 1922429  ms,  24840  mm,  -94  dBm 
54, 1922599  ms,  24844  mm,  -95  dBm 
55, 1922769  ms,  24863  mm,  -95  dBm 
56, 1922940  ms,  24807  mm,  -95  dBm 
57, 1923111  ms,  24812  mm,  -95  dBm 
58, 1923281  ms,  24840  mm,  -95  dBm 
59, 1923452  ms,  24844  mm,  -96  dBm 
60, 1923622  ms,  24802  mm,  -95  dBm 
61, 1923792  ms,  24840  mm,  -95  dBm 
62, 1923962  ms,  24840  mm,  -96  dBm 
63, 1924132  ms,  24863  mm,  -97  dBm 
64, 1924303  ms,  24835  mm,  -96  dBm 
65, 1924474  ms,  24873  mm,  -95  dBm 
66, 1924644  ms,  24812  mm,  -95  dBm 
67, 1924813  ms,  24854  mm,  -97  dBm 
68, 1924981  ms,  24816  mm,  -96  dBm 
69, 1925151  ms,  24816  mm,  -95  dBm 
70, 1925322  ms,  24877  mm,  -95  dBm 
71, 1925493  ms,  24882  mm,  -96  dBm 
72, 1925664  ms,  24830  mm,  -96  dBm 
73, 1925835  ms,  24840  mm,  -96  dBm 
74, 1926006  ms,  24798  mm,  -96  dBm 
75, 1926191  ms,  24849  mm,  -96  dBm 
76, 1926362  ms,  24863  mm,  -96  dBm 
77, 1926532  ms,  24807  mm,  -96  dBm 
78, 1926703  ms,  24873  mm,  -97  dBm 
79, 1926874  ms,  24868  mm,  -97  dBm 
80, 1926874  ms,  24868  mm,  -97  dBm 
81, 1927231  ms,  24854  mm,  -96  dBm 
82, 1927402  ms,  24835  mm,  -96  dBm 
83, 1927572  ms,  24840  mm,  -95  dBm 
84, 1927743  ms,  24807  mm,  -96  dBm 
85, 1927913  ms,  24858  mm,  -96  dBm 
86, 1928084  ms,  24873  mm,  -97  dBm 
87, 1928254  ms,  24830  mm,  -97  dBm 
88, 1928425  ms,  24840  mm,  -96  dBm 
89, 1928595  ms,  24887  mm,  -96  dBm 
90, 1928766  ms,  24858  mm,  -95  dBm 
91, 1928936  ms,  24854  mm,  -96  dBm 
92, 1929107  ms,  24798  mm,  -95  dBm 
93, 1929278  ms,  24854  mm,  -96  dBm 
94, 1929449  ms,  24835  mm,  -96  dBm 
95, 1929635  ms,  24812  mm,  -95  dBm 
96, 1929804  ms,  24807  mm,  -96  dBm 
97, 1929973  ms,  24821  mm,  -96  dBm 
98, 1930143  ms,  24863  mm,  -97  dBm 
99, 1930314  ms,  24812  mm,  -96  dBm 
100, 1930484  ms,  24835  mm,  -96  dBm 
101, 1930655  ms,  24863  mm,  -96  dBm 
102, 1930826  ms,  24854  mm,  -96  dBm 
103, 1930996  ms,  24849  mm,  -96  dBm 
104, 1931167  ms,  24830  mm,  -96  dBm 
105, 1931338  ms,  24816  mm,  -96  dBm 
106, 1931509  ms,  24882  mm,  -96  dBm 
107, 1931681  ms,  24863  mm,  -96  dBm 
108, 1931851  ms,  24858  mm,  -95  dBm 
109, 1932022  ms,  24858  mm,  -96  dBm 
110, 1932193  ms,  24873  mm,  -96  dBm 
111, 1932364  ms,  24835  mm,  -96  dBm 
112, 1932535  ms,  24830  mm,  -96  dBm 
113, 1932705  ms,  24877  mm,  -96  dBm 
114, 1932876  ms,  24877  mm,  -96  dBm 
115, 1933047  ms,  24863  mm,  -95  dBm 
116, 1933217  ms,  24854  mm,  -96  dBm 
117, 1933387  ms,  24844  mm,  -96  dBm 
118, 1933558  ms,  24816  mm,  -96  dBm 
119, 1933730  ms,  24849  mm,  -97  dBm 
120, 1933901  ms,  24849  mm,  -96  dBm 
