count,data
1, 282973  ms,  2294  mm,  -79  dBm 
2, 283176  ms,  2303  mm,  -79  dBm 
3, 283377  ms,  2289  mm,  -79  dBm 
4, 283577  ms,  2355  mm,  -79  dBm 
5, 283779  ms,  2322  mm,  -79  dBm 
6, 283981  ms,  2364  mm,  -79  dBm 
7, 284183  ms,  2308  mm,  -80  dBm 
8, 284385  ms,  2294  mm,  -79  dBm 
9, 284587  ms,  2322  mm,  -79  dBm 
10, 284788  ms,  2341  mm,  -79  dBm 
11, 284991  ms,  2275  mm,  -79  dBm 
12, 285193  ms,  2322  mm,  -79  dBm 
13, 0  ms,  0  mm,  0  dBm 
14, 0  ms,  0  mm,  0  dBm 
15, 285488  ms,  2261  mm,  -79  dBm 
16, 285721  ms,  2322  mm,  -79  dBm 
17, 285954  ms,  2294  mm,  -79  dBm 
18, 286156  ms,  2308  mm,  -79  dBm 
19, 286356  ms,  2331  mm,  -79  dBm 
20, 286620  ms,  2266  mm,  -79  dBm 
21, 286819  ms,  2336  mm,  -79  dBm 
22, 287020  ms,  2312  mm,  -79  dBm 
23, 287223  ms,  2308  mm,  -79  dBm 
24, 0  ms,  0  mm,  0  dBm 
25, 0  ms,  0  mm,  0  dBm 
26, 0  ms,  0  mm,  0  dBm 
27, 0  ms,  0  mm,  0  dBm 
28, 287549  ms,  2284  mm,  -79  dBm 
29, 287750  ms,  2270  mm,  -79  dBm 
30, 287952  ms,  2331  mm,  -79  dBm 
31, 288154  ms,  2331  mm,  -80  dBm 
32, 288354  ms,  2298  mm,  -79  dBm 
33, 288554  ms,  2298  mm,  -79  dBm 
34, 288771  ms,  2308  mm,  -78  dBm 
35, 288973  ms,  2298  mm,  -79  dBm 
36, 289207  ms,  2341  mm,  -80  dBm 
37, 289440  ms,  2336  mm,  -79  dBm 
38, 289642  ms,  2280  mm,  -79  dBm 
39, 289875  ms,  2383  mm,  -79  dBm 
40, 290077  ms,  2261  mm,  -79  dBm 
41, 290247  ms,  2322  mm,  -79  dBm 
42, 290434  ms,  2270  mm,  -79  dBm 
43, 290697  ms,  2275  mm,  -79  dBm 
44, 290977  ms,  2280  mm,  -79  dBm 
45, 291180  ms,  2331  mm,  -79  dBm 
46, 291381  ms,  2289  mm,  -79  dBm 
47, 291583  ms,  2350  mm,  -79  dBm 
48, 291848  ms,  2308  mm,  -78  dBm 
