count,data
1, 349672  ms,  3198  mm,  -80  dBm 
2, 349969  ms,  3511  mm,  -80  dBm 
3, 350309  ms,  3895  mm,  -80  dBm 
4, 350542  ms,  4134  mm,  -80  dBm 
5, 350744  ms,  4401  mm,  -81  dBm 
6, 350944  ms,  4644  mm,  -82  dBm 
7, 351193  ms,  5000  mm,  -82  dBm 
8, 351426  ms,  5337  mm,  -83  dBm 
9, 351627  ms,  5661  mm,  -82  dBm 
10, 351830  ms,  5961  mm,  -83  dBm 
11, 352031  ms,  6256  mm,  -83  dBm 
12, 0  ms,  0  mm,  0  dBm 
13, 352311  ms,  6701  mm,  -83  dBm 
14, 352576  ms,  7123  mm,  -83  dBm 
15, 352777  ms,  7437  mm,  -85  dBm 
16, 353011  ms,  7812  mm,  -83  dBm 
17, 353243  ms,  8149  mm,  -84  dBm 
18, 353475  ms,  8543  mm,  -86  dBm 
19, 353674  ms,  8820  mm,  -84  dBm 
20, 353876  ms,  9115  mm,  -85  dBm 
21, 354078  ms,  9439  mm,  -86  dBm 
22, 354311  ms,  9810  mm,  -87  dBm 
23, 354575  ms,  10199  mm,  -86  dBm 
24, 354777  ms,  10532  mm,  -86  dBm 
25, 354980  ms,  10841  mm,  -86  dBm 
26, 0  ms,  0  mm,  0  dBm 
27, 0  ms,  0  mm,  0  dBm 
28, 355274  ms,  11324  mm,  -88  dBm 
29, 355506  ms,  11723  mm,  -87  dBm 
30, 355770  ms,  12145  mm,  -89  dBm 
31, 355972  ms,  0  mm,  -87  dBm 
32, 356190  ms,  12811  mm,  -87  dBm 
33, 356454  ms,  13252  mm,  -88  dBm 
34, 356687  ms,  13725  mm,  -89  dBm 
35, 356951  ms,  14124  mm,  -90  dBm 
36, 357185  ms,  14466  mm,  -93  dBm 
37, 357418  ms,  14921  mm,  -89  dBm 
38, 357652  ms,  15343  mm,  -88  dBm 
39, 357854  ms,  15723  mm,  -89  dBm 
40, 358133  ms,  0  mm,  -91  dBm 
41, 0  ms,  0  mm,  0  dBm 
42, 358364  ms,  16543  mm,  -90  dBm 
43, 358564  ms,  16937  mm,  -90  dBm 
44, 0  ms,  0  mm,  0  dBm 
45, 358795  ms,  17256  mm,  -89  dBm 
46, 359012  ms,  17678  mm,  -93  dBm 
47, 0  ms,  0  mm,  0  dBm 
48, 359525  ms,  18438  mm,  -93  dBm 
49, 0  ms,  0  mm,  0  dBm 
50, 359758  ms,  18860  mm,  -93  dBm 
51, 359959  ms,  19287  mm,  -92  dBm 
52, 360192  ms,  19672  mm,  -91  dBm 
53, 360424  ms,  20080  mm,  -91  dBm 
54, 360626  ms,  20445  mm,  -90  dBm 
55, 360828  ms,  20727  mm,  -91  dBm 
56, 361061  ms,  21102  mm,  -91  dBm 
57, 361278  ms,  21467  mm,  -93  dBm 
58, 361480  ms,  21786  mm,  -94  dBm 
59, 0  ms,  0  mm,  0  dBm 
60, 361713  ms,  22180  mm,  -93  dBm 
61, 361962  ms,  22617  mm,  -95  dBm 
62, 362164  ms,  22870  mm,  -95  dBm 
63, 362365  ms,  23226  mm,  -95  dBm 
64, 362598  ms,  23564  mm,  -95  dBm 
65, 362846  ms,  24000  mm,  -93  dBm 
66, 363110  ms,  24394  mm,  -94  dBm 
67, 363342  ms,  24779  mm,  -94  dBm 
68, 363573  ms,  25121  mm,  -95  dBm 
69, 0  ms,  0  mm,  0  dBm 
70, 363836  ms,  25534  mm,  -93  dBm 
71, 0  ms,  0  mm,  0  dBm 
72, 364068  ms,  25951  mm,  -92  dBm 
73, 364301  ms,  26336  mm,  -92  dBm 
74, 364502  ms,  26599  mm,  -94  dBm 
75, 364704  ms,  26936  mm,  -94  dBm 
76, 365063  ms,  27560  mm,  -94  dBm 
77, 365515  ms,  28240  mm,  -97  dBm 
78, 365966  ms,  28920  mm,  -100  dBm 
79, 366386  ms,  29657  mm,  -99  dBm 
80, 366714  ms,  30201  mm,  -95  dBm 
81, 366913  ms,  30562  mm,  -94  dBm 
